mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.37969215710957843,0.0007701582268327925,0.07850440343221028,0.00828771551673993,100,10,1,sqrt,16,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16}",0.6936708860759494,0.68,0.6936708860759494,0.6891139240506329,0.006444517499421692,3,0.9328782707622298,0.9484536082474226,0.9434389140271493,0.9415902643456006,0.006491579863085749
1.0875028769175212,0.018496004020743997,0.11782097816467285,0.009182225028805264,300,5,1,log2,,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': None}",0.6796657381615598,0.659217877094972,0.6853932584269663,0.6747589578944995,0.011235212990437365,5,0.9929577464788732,0.9953161592505855,0.9976580796252927,0.9953106617849171,0.0019189069090550855
0.6782184441884359,0.029625865987876275,0.09557906786600749,0.005696213919815263,200,10,4,log2,16,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 16}",0.6585956416464891,0.6650717703349283,0.6616541353383458,0.6617738491065878,0.002645223271866504,10,0.8945615982241953,0.903010033444816,0.9019607843137255,0.8998441386609123,0.003759801061575445
1.0541861057281494,0.022855396487439138,0.11510006586710612,0.014955835144565085,300,2,2,sqrt,20,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20}",0.6774193548387096,0.6864864864864865,0.7182320441988951,0.6940459618413638,0.017498155215783864,1,0.984936268829664,0.9837962962962963,0.9906759906759907,0.9864695186006504,0.0030106134297040728
0.3762976328531901,0.007606094400683924,0.05588213602701823,0.006654670134987695,100,10,2,log2,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None}",0.655,0.6801007556675063,0.6819338422391857,0.6723448659688973,0.01228748233512673,7,0.9255079006772009,0.9271070615034168,0.9426321709786277,0.9317490443864153,0.007723175605652523
0.3551949659983317,0.001919727511033248,0.05571611722310384,0.003883554669595436,100,10,2,log2,16,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 16}",0.6599496221662469,0.675,0.673469387755102,0.6694730033071163,0.006762976895162799,8,0.9265536723163842,0.9276018099547512,0.9415730337078652,0.9319095053263334,0.006846531175845727
1.4239197572072346,0.033866868004539606,0.1425288518269857,0.007405646298707179,400,2,2,sqrt,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.6827956989247311,0.6757493188010899,0.7091412742382271,0.689228763988016,0.014371126528802645,2,0.9883720930232558,0.9837962962962963,0.9906542056074766,0.9876075316423428,0.0028514494102685303
0.6909827391306559,0.007458250950614235,0.08893942832946777,0.01084271102269579,200,10,2,log2,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': None}",0.6801007556675063,0.6834170854271356,0.6852791878172588,0.6829323429706337,0.0021416926824748463,4,0.9297052154195011,0.935005701254276,0.9403824521934758,0.9350311229557509,0.004359000724864878
0.35087792078653973,0.010768365493769727,0.05641635258992513,0.0031136702139027595,100,10,4,sqrt,16,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16}",0.6445497630331753,0.675990675990676,0.674937965260546,0.6651594680947991,0.014579597777160433,9,0.8815060908084164,0.8952590959206174,0.9106945975744212,0.8958199281011515,0.011922755032802315
0.336162010828654,0.008955575814346018,0.05526876449584961,0.005454186021080758,100,5,2,log2,8,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 8}",0.6398104265402843,0.6100917431192661,0.6487804878048781,0.6328942191548096,0.01653441229247435,11,0.8314855875831486,0.8306010928961749,0.8494983277591973,0.8371950027461735,0.008707255116468193
0.9520940780639648,0.02477997244185022,0.09750548998514812,0.011088106878519622,300,10,1,sqrt,8,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 8}",0.634032634032634,0.6224256292906178,0.6376811594202898,0.6313798075811806,0.006504404457518537,12,0.8127053669222344,0.8047982551799345,0.8349514563106796,0.8174850261376162,0.012765519737928914
0.8580041726430258,0.0910014018048846,0.10917019844055176,0.006377136814911957,300,5,4,log2,20,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 20}",0.6682577565632458,0.6617647058823529,0.6882793017456359,0.6727672547304117,0.011284432602426493,6,0.9068736141906873,0.9166666666666666,0.9210233592880979,0.9148545467151505,0.005917018146523638
